GMT time,,,location,Liv (Gladstone Dock) HT time (GMT),Liv (Gladstone Dock) HT height (m),Liv (Gladstone Dock) prev. LT height (m),Chester Weir height: CHESTER WEIR 15 MIN SG,Time difference: Glad-Saltney,Time difference: Glad-Saltney (mins)
10:59,,,bridge,12:06,10.0,,,1h 7m,67
14:01,,,bridge,,,,,,
13:24,,,not bridge,,,,,,
12:07,,,not bridge (400m downstream?),,,,,,
10:40,,,estimated,12:47,9.82,0.21,,2h 7m,
11:01,,,bridge,12:18,9.68,0.53,,1h 17m,77
10:40,,,bridge,11:40,8.81,1.65,,1h,60
12:10,,,bridge (I think),13:18,9.32,1.02,,1h 8m,
12:33,,,bridge,13:46,8.96,1.52,,1h 13m,73
10:38,,,bridge,12:14,10.13,0.84,,1h 36m,96
09:20,,,bridge,10:36,9.67,1.26,,1h 16m,76
09:13,,,estimated,10:31,9.49,1.30,,1h 18m,
12:25,,,estimated,13:33,9.26,1.55,,1h 8m,
10:00,,,bridge,10:59,9.41,1.24,,59m,59
07:10,,,estimated,08:12,8.27,2.27,,1h 2m,
11:20,,,bridge,12:27,9.63,0.44,4.408,1h 7m,67
11:20,,,bridge,12:27,9.63,0.44,4.408,1h 7m,67
14:10,,,not bridge (200m downstream?),14:55,8.47,2.04,,45m,
12:30,,,not bridge,13:35,8.90,1.51,,1h 5m,
10:30,,,estimated,11:22,8.85,1.65,,52m,
13:43,,,not bridge,14:39,8.37,1.99,,56m,
13:55,,,bridge,14:39,8.37,1.99,4.365,44m,44
12:55,,,bridge,14:00,8.54,1.8,4.371,1h 5m,65
13:15,,,bridge,14:00,8.54,1.8,4.371,45m,45
13:00,,,not bridge,14:00,8.54,1.8,,1h,
12:56,,,estimated,14:00,8.54,1.8,,1h 4m,
10:00,,,bridge,11:13,9.85,1.07,4.58,1h 13m,73
11:30,,,bridge,13:00,9.89,1.14,4.784,1h 30m,90
10:20,,,bridge,11:34,10.01,0.87,4.498,1h 14m,74
08:38,,,bridge,09:48,9.25,1.41,4.662,1h 10m,70
11:00,,,bridge,12:14,9.78,0.72,4.485,1h 13m 43s,74
11:50,,,maybe,13:04,9.28,0.74,,1h 14m,
10:30,,,bridge,11:55,10.01,0.49,4.522,1h 25m,85
10:05,,,blue bridge,11:55,10.01,0.49,,1h 50m,
10:05,,,Queensferry road bridge,11:55,10.01,0.49,,1h 50m,
10:28,,,blue bridge,12:24,9.77,0.53,,1h 56m,
10:05,,,bridge,11:41,10.05,0.75,4.605,1h 36m,96
09:38,,,bridge,11:00,9.90,0.53,4.565,1h 22m,82
11:25,,,bridge,12:47,9.81,0.37,4.436,1h 22m,82
11:25,,,bridge,12:47,9.81,0.37,4.436,1h 22m,82
10:40,,,bridge,12:06,9.97,0.20,4.41,1h 26m,86
13:06,,,bridge,14:22,9.17,0.78,4.386,1h 16m,76
09:49,,,bridge,11:27,10.09,0.68,4.495,1h 38m,98
10:11,,,bridge,11:46,9.99,0.92,4.571,1h 35m,95
11:02,,,bridge,12:15,9.73,0.26,4.439,1h 13m,73
10:32,,,bridge,11:50,9.56,0.62,4.517,1h 18m,78
10:45,,,bridge,12:01,9.50,1.06,4.436,1h 16m,76
10:20,,,bridge,11:40,9.91,0.74,4.557,1h 20m,80
10:40,,,bridge,12:03,9.31,1.25,4.567,1h 23m,83
11:57,,,bridge,13:24,9.70,0.97,4.657,1h 27m,87
11:09,,,bridge,12:25,9.76,0.61,4.548,1h 16m,76
09:37,,,blue bridge,11:32,9.90,0.43,,1h 55m,
10:06,,,bridge,11:32,9.90,0.43,4.664,1h 26m,86
10:40,,,bridge,11:53,9.69,0.75,4.438,1h 13m,73
10:58,,,bridge,12:09,9.66,0.38,4.396,1h 11m,71
10:52,,,bridge,12:09,9.66,0.38,4.396,1h 17m,77
10:10,,,Airbus,11:31,9.28,1.21,,1h 21m,
09:16,,,bridge,10:23,8.90,1.72,,1h 7m,67
12:45,,,bridge,13:45,8.61,1.77,,1h,60
10:43,,,bridge,11:59,9.69,0.81,,1h 16m,76